ingredient,drug_b,severity,side_effects,mechanism,clinical_action,confidence,created_at
blonanserin,clonazepam,Moderate,Increased sedation and potentially respiratory depression.,Additive CNS depressant effects.,Monitor for excessive sedation and respiratory depression; consider dose reduction.,1,2026-05-13
blonanserin,alprazolam,Moderate,Increased sedation and potentially respiratory depression.,Additive CNS depressant effects.,Monitor for excessive sedation and respiratory depression; consider dose reduction.,1,2026-05-13
blonanserin,haloperidol,Moderate,Increased risk of QTc prolongation and extrapyramidal symptoms.,Pharmacodynamic interaction affecting cardiac repolarization and dopamine antagonism.,Monitor ECG for QTc prolongation and for signs of extrapyramidal symptoms; use with caution.,1,2026-05-13
blonanserin,clozapine,Moderate,"Increased risk of sedation, orthostatic hypotension, and anticholinergic effects.",Additive pharmacodynamic effects on CNS and autonomic nervous system.,"Monitor for increased sedation, orthostatic hypotension, and anticholinergic symptoms; consider dose adjustment.",1,2026-05-13
blonanserin,olanzapine,Moderate,"Increased risk of sedation, orthostatic hypotension, and anticholinergic effects.",Additive pharmacodynamic effects on CNS and autonomic nervous system.,"Monitor for increased sedation, orthostatic hypotension, and anticholinergic symptoms; consider dose adjustment.",1,2026-05-13
chromium polynicotinate,,,,,,1,2026-05-13
vonoprazan,metformin,Minor,Potentially altered metformin absorption.,Changes in gastric pH may affect drug absorption.,Monitor blood glucose levels and metformin efficacy.,1,2026-05-13
vonoprazan,atenolol,Minor,Potentially altered atenolol absorption.,Changes in gastric pH may affect drug absorption.,Monitor blood pressure and heart rate.,1,2026-05-13
vonoprazan,metoprolol,Minor,Potentially altered metoprolol absorption.,Changes in gastric pH may affect drug absorption.,Monitor blood pressure and heart rate.,1,2026-05-13
vonoprazan,diazepam,Minor,Potentially altered diazepam absorption.,Changes in gastric pH may affect drug absorption.,Monitor for increased sedation.,1,2026-05-13
vonoprazan,alprazolam,Minor,Potentially altered alprazolam absorption.,Changes in gastric pH may affect drug absorption.,Monitor for increased sedation.,1,2026-05-13
vonoprazan,clonazepam,Minor,Potentially altered clonazepam absorption.,Changes in gastric pH may affect drug absorption.,Monitor for increased sedation.,1,2026-05-13
vonoprazan,midazolam,Minor,Potentially altered midazolam absorption.,Changes in gastric pH may affect drug absorption.,Monitor for increased sedation.,1,2026-05-13
vonoprazan,digoxin,Minor,Potentially increased digoxin absorption.,Increased gastric pH may enhance absorption of basic drugs.,Monitor digoxin levels and for signs of toxicity.,1,2026-05-13
sodium fusidate,atorvastatin,Major,Increased risk of myopathy and rhabdomyolysis.,Inhibition of CYP3A4 by sodium fusidate may increase statin concentrations.,"Avoid concurrent use. If unavoidable, monitor closely for muscle pain, weakness, and elevated creatine kinase.",1,2026-05-13
sodium fusidate,rosuvastatin,Major,Increased risk of myopathy and rhabdomyolysis.,Inhibition of CYP2C9 by sodium fusidate may increase rosuvastatin concentrations.,"Avoid concurrent use. If unavoidable, monitor closely for muscle pain, weakness, and elevated creatine kinase.",1,2026-05-13
sodium fusidate,prednisolone,Minor,Potential for altered pharmacokinetics of either drug.,"Limited data, but potential for interactions via protein binding or hepatic metabolism.",Monitor for therapeutic efficacy and potential side effects of both agents.,1,2026-05-13
sodium fusidate,dexamethasone,Minor,Potential for altered pharmacokinetics of either drug.,"Limited data, but potential for interactions via protein binding or hepatic metabolism.",Monitor for therapeutic efficacy and potential side effects of both agents.,1,2026-05-13
pheniramine,tramadol,Moderate,Increased sedation and anticholinergic effects.,Additive CNS depression and anticholinergic activity.,Monitor for increased sedation and anticholinergic symptoms; caution when driving or operating machinery.,1,2026-05-13
pheniramine,codeine,Moderate,Increased sedation and anticholinergic effects.,Additive CNS depression and anticholinergic activity.,Monitor for increased sedation and anticholinergic symptoms; caution when driving or operating machinery.,1,2026-05-13
pheniramine,morphine,Moderate,Increased sedation and anticholinergic effects.,Additive CNS depression and anticholinergic activity.,Monitor for increased sedation and anticholinergic symptoms; caution when driving or operating machinery.,1,2026-05-13
pheniramine,diazepam,Moderate,Increased sedation and respiratory depression.,Additive CNS depressant effects.,Monitor for excessive sedation and respiratory depression; avoid activities requiring alertness.,1,2026-05-13
pheniramine,lorazepam,Moderate,Increased sedation and respiratory depression.,Additive CNS depressant effects.,Monitor for excessive sedation and respiratory depression; avoid activities requiring alertness.,1,2026-05-13
pheniramine,alprazolam,Moderate,Increased sedation and respiratory depression.,Additive CNS depressant effects.,Monitor for excessive sedation and respiratory depression; avoid activities requiring alertness.,1,2026-05-13
pheniramine,midazolam,Moderate,Increased sedation and respiratory depression.,Additive CNS depressant effects.,Monitor for excessive sedation and respiratory depression; avoid activities requiring alertness.,1,2026-05-13
pheniramine,clonazepam,Moderate,Increased sedation and respiratory depression.,Additive CNS depressant effects.,Monitor for excessive sedation and respiratory depression; avoid activities requiring alertness.,1,2026-05-13
pheniramine,zolpidem,Moderate,Increased sedation and respiratory depression.,Additive CNS depressant effects.,Monitor for excessive sedation and respiratory depression; avoid activities requiring alertness.,1,2026-05-13
pheniramine,amitriptyline,Moderate,Increased sedation and anticholinergic effects.,Additive CNS depression and anticholinergic activity.,Monitor for increased sedation and anticholinergic symptoms; caution when driving or operating machinery.,1,2026-05-13
pidotimod,,,,,,1,2026-05-13
copper,penicillamine,Moderate,Reduced efficacy of penicillamine.,"Copper can chelate with penicillamine, reducing its absorption and activity.",Separate administration by at least 2 hours. Monitor for signs of decreased penicillamine efficacy.,1,2026-05-13
copper,ciprofloxacin,Minor,Reduced absorption of ciprofloxacin.,"Copper can form complexes with fluoroquinolones, reducing their oral bioavailability.",Administer ciprofloxacin at least 2 hours before or 4-6 hours after copper. Monitor for reduced antibiotic efficacy.,1,2026-05-13
copper,levofloxacin,Minor,Reduced absorption of levofloxacin.,"Copper can form complexes with fluoroquinolones, reducing their oral bioavailability.",Administer levofloxacin at least 2 hours before or 4-6 hours after copper. Monitor for reduced antibiotic efficacy.,1,2026-05-13
copper,tetracyclines,Minor,Reduced absorption of tetracyclines.,"Copper can form complexes with tetracyclines, reducing their oral bioavailability.",Separate administration by at least 2 hours. Monitor for reduced antibiotic efficacy.,1,2026-05-13
tofisopam,diazepam,Minor,Potentially altered metabolism and increased CNS effects.,"May involve CYP enzyme interactions, though data is limited.",Monitor for increased sedation and benzodiazepine-like effects.,1,2026-05-13
tofisopam,alprazolam,Minor,Potentially altered metabolism and increased CNS effects.,"May involve CYP enzyme interactions, though data is limited.",Monitor for increased sedation and benzodiazepine-like effects.,1,2026-05-13
tofisopam,lorazepam,Minor,Potentially altered metabolism and increased CNS effects.,"May involve CYP enzyme interactions, though data is limited.",Monitor for increased sedation and benzodiazepine-like effects.,1,2026-05-13
tofisopam,clonazepam,Minor,Potentially altered metabolism and increased CNS effects.,"May involve CYP enzyme interactions, though data is limited.",Monitor for increased sedation and benzodiazepine-like effects.,1,2026-05-13
tofisopam,midazolam,Minor,Potentially altered metabolism and increased CNS effects.,"May involve CYP enzyme interactions, though data is limited.",Monitor for increased sedation and benzodiazepine-like effects.,1,2026-05-13
tofisopam,zolpidem,Minor,Potentially altered metabolism and increased CNS effects.,"May involve CYP enzyme interactions, though data is limited.",Monitor for increased sedation and benzodiazepine-like effects.,1,2026-05-13
benzyl alcohol,warfarin,Minor,Potentially altered anticoagulant effect.,"Limited evidence suggests possible interactions with anticoagulant effects, possibly due to excipient effects.",Monitor INR closely when benzyl alcohol-containing products are initiated or stopped.,1,2026-05-13
benzyl alcohol,atorvastatin,Minor,Potentially altered pharmacokinetics.,Excipient in formulations may influence drug absorption or metabolism.,Monitor for therapeutic response and potential side effects.,1,2026-05-13
benzyl alcohol,rosuvastatin,Minor,Potentially altered pharmacokinetics.,Excipient in formulations may influence drug absorption or metabolism.,Monitor for therapeutic response and potential side effects.,1,2026-05-13
benzyl alcohol,digoxin,Minor,Potentially altered absorption or serum levels.,Excipients in formulations can affect drug absorption.,Monitor digoxin levels and for signs of toxicity.,1,2026-05-13
benzyl alcohol,furosemide,Minor,Potentially altered pharmacokinetics.,Excipients in formulations may influence drug absorption or metabolism.,Monitor diuretic effect and electrolytes.,1,2026-05-13
benzyl alcohol,spironolactone,Minor,Potentially altered pharmacokinetics.,Excipients in formulations may influence drug absorption or metabolism.,Monitor electrolyte balance and diuretic effect.,1,2026-05-13
benzyl alcohol,insulin,Minor,Potentially altered absorption or glycemic control.,Excipients in formulations can affect insulin absorption and efficacy.,Monitor blood glucose levels closely.,1,2026-05-13
benzyl alcohol,metformin,Minor,Potentially altered absorption or glycemic control.,Excipients in formulations can affect metformin absorption.,Monitor blood glucose levels.,1,2026-05-13
cetrorelix,,,,,,1,2026-05-13
terpin hydrate,,,,,,1,2026-05-13
potassium iodide,lisinopril,Moderate,Hyperkalemia,Potassium iodide can increase serum potassium; ACE inhibitors also increase serum potassium.,"Monitor serum potassium levels closely, especially in patients with renal impairment.",1,2026-05-13
potassium iodide,spironolactone,Major,Severe hyperkalemia,"Potassium iodide increases serum potassium, and spironolactone is a potassium-sparing diuretic.","Avoid concurrent use if possible. If unavoidable, monitor potassium levels frequently and adjust dosages.",1,2026-05-13
potassium iodide,losartan,Moderate,Hyperkalemia,Potassium iodide can increase serum potassium; ARBs also increase serum potassium.,"Monitor serum potassium levels closely, especially in patients with renal impairment.",1,2026-05-13
potassium iodide,ramipril,Moderate,Hyperkalemia,Potassium iodide can increase serum potassium; ACE inhibitors also increase serum potassium.,"Monitor serum potassium levels closely, especially in patients with renal impairment.",1,2026-05-13
amylmetacresol,,,,,,1,2026-05-13
choline theophyllinate,ciprofloxacin,Moderate,Increased theophylline levels and toxicity,"Ciprofloxacin inhibits CYP1A2, which metabolizes theophylline.",Monitor theophylline levels and for signs of toxicity; consider alternative antibiotic or dose adjustment of theophylline.,1,2026-05-13
choline theophyllinate,erythromycin,Moderate,Increased theophylline levels and toxicity,"Erythromycin inhibits CYP1A2, which metabolizes theophylline.",Monitor theophylline levels and for signs of toxicity; consider alternative antibiotic or dose adjustment of theophylline.,1,2026-05-13
choline theophyllinate,atenolol,Minor,Reduced efficacy of beta-blocker,Theophylline can antagonize the effects of beta-adrenergic blockers.,Monitor for adequate blood pressure control.,1,2026-05-13
choline theophyllinate,metoprolol,Minor,Reduced efficacy of beta-blocker,Theophylline can antagonize the effects of beta-adrenergic blockers.,Monitor for adequate blood pressure control.,1,2026-05-13
vitamin b,,,,,,1,2026-05-13
n-acetylcarnosine,,,,,,1,2026-05-13
feracrylum,,,,,,1,2026-05-13
troxerutin,,,,,,1,2026-05-13
wheat germ oil,,,,,,1,2026-05-13
risedronate,omeprazole,Minor,Reduced risedronate absorption,Proton pump inhibitors may decrease the absorption of bisphosphonates.,Separate administration of risedronate and omeprazole by at least 30 minutes to 2 hours.,1,2026-05-13
